User,Film,Rating
cinemuach,Okja,3.25
cinemuach,Black Panther,2.708333
cinemuach,Buffalo Boys,2.5
cinemuach,Burning,2.822222
cinemuach,Christopher Robin,3.0
cinemuach,Berlin Syndrome,2.395833
cinemuach,Icarus,2.623016
cinemuach,89,3.0625
cinemuach,Newness,1.25
cinemuach,Tramps,3.75
cinemuach,Milea,2.5
cinemuach,Lady Bird,3.75
cinemuach,Lady Bird,3.75
cinemuach,Ne Zha,4.25
cinemuach,Ne Zha,4.25
cinemuach,Uncut Gems,2.8125
cinemuach,Uncut Gems,3.258929
cinemuach,The Florida Project,4.25
cinemuach,The Florida Project,4.25
cinemuach,Happy Old Year,2.635417
cinemuach,Marriage Story,5.0
cinemuach,Marriage Story,5.0
cinemuach,The Irishman,3.177083
cinemuach,The Silence,2.988636
cinemuach,The Theory of Everything,3.358333
cinemuach,Cloud Atlas,2.335938
cinemuach,Death at a Funeral,3.0
cinemuach,Suckseed,3.03125
cinemuach,Swiss Army Man,2.625
cinemuach,The Croods,4.0
cinemuach,The Croods,4.0
cinemuach,Brick Mansions,3.625
cinemuach,The BFG,4.25
cinemuach,The Space Between Us,2.75
cinemuach,Train to Busan,3.375
cinemuach,Turbo,3.375
cinemuach,Turbo,3.375
cinemuach,The Lovely Bones,2.5
cinemuach,Moonlight,4.25
cinemuach,Captain Fantastic,1.75
cinemuach,Sherlock Holmes,3.75
cinemuach,Sherlock Holmes,3.75
cinemuach,The Pursuit of Happyness,3.095238
cinemuach,The Time Traveler's Wife,2.6625
cinemuach,Zombieland,2.5
WatchmenID,Words Bubble Up Like Soda Pop,4.0
WatchmenID,Gunpowder Milkshake,3.375
WatchmenID,Kingdom: Ashin of the North,3.354167
WatchmenID,Midnight Sun,4.25
WatchmenID,Si Doel the Movie 2,2.5
WatchmenID,Ali & Ratu Ratu Queens,2.75
WatchmenID,Wish Dragon,3.75
WatchmenID,Ghost Lab,3.75
WatchmenID,Army of the Dead,3.160714
WatchmenID,The Woman in the Window,3.75
WatchmenID,The Mitchells vs The Machines,2.822917
WatchmenID,Stowaway,3.21875
WatchmenID,Ride or Die,3.5
WatchmenID,Tersanjung the Movie,2.5
WatchmenID,The Last Mercenary,2.875
WatchmenID,Two Distant Strangers,2.90625
WatchmenID,Thunder Force,3.75
WatchmenID,Death to 2020,2.916667
WatchmenID,Geez & Ann,2.5
WatchmenID,Generasi 90an: Melankolia,3.75
WatchmenID,I Care a Lot,3.75
WatchmenID,If Anything Happens I Love You,2.5
WatchmenID,June & Kopi,2.982143
WatchmenID,Ma Rainey's Black Bottom,2.5
WatchmenID,Mariposa,3.041667
WatchmenID,Pieces of a Woman,2.5
WatchmenID,The Call,3.28125
WatchmenID,Mile 22,2.5
WatchmenID,Over the Moon,3.25
WatchmenID,The Trial of the Chicago 7,3.0
WatchmenID,Enola Holmes,2.916667
WatchmenID,The Devil All The Time,2.5
WatchmenID,Cargo,2.958333
WatchmenID,Cargo,2.958333
WatchmenID,#Alive,2.5
WatchmenID,My Octopus Teacher,2.5
WatchmenID,I'm Thinking of Ending Things,2.5
WatchmenID,Ave Maryam,4.1875
WatchmenID,Project Power,2.75
WatchmenID,Nightcrawler,4.145833
WatchmenID,High Flying Bird,3.5625
WatchmenID,Velvet Buzzsaw,2.5
WatchmenID,Bird Box,3.375
WatchmenID,Target,1.949405
WatchmenID,May the Devil Take You,3.5
WatchmenID,Apostle,3.25
WatchmenID,Kuntilanak,3.0
WatchmenID,The Ballad of Buster Scruggs,2.5
WatchmenID,Bad Genius,2.104167
WatchmenID,The Ritual,3.0
WatchmenID,Goosebumps 2: Haunted Halloween,3.0
WatchmenID,Mary Poppins Returns,2.5
WatchmenID,Spider-Man: Into the Spider-Verse,4.5
WatchmenID,The Angry Birds Movie 2,3.298701
WatchmenID,The Foreigner,3.0
WatchmenID,The Secret Life of Pets 2,2.5
WatchmenID,The Nutcracker and the Four Realms,2.5
WatchmenID,Okja,4.25
WatchmenID,Ant-Man and the Wasp,3.558333
WatchmenID,Avengers: Infinity War,2.708333
WatchmenID,Black Panther,3.09375
WatchmenID,Buffalo Boys,2.359375
WatchmenID,A Whisker Away,3.75
WatchmenID,Milea,2.966667
WatchmenID,Da 5 Bloods,2.5
WatchmenID,Ne Zha,3.069444
WatchmenID,Dilan 1990,3.1875
